지역,온도,날씨
속초,26.6,구름많음
북춘천,28.3,구름조금
철원,28.6,구름조금
동두천,29.0,구름조금
파주,28.2,구름조금
대관령,24.2,구름많음
춘천,29.4,구름조금
백령도,25.6,구름조금
북강릉,27.4,구름많음
강릉,28.3,구름많음
동해,26.3,흐림
서울,29.5,맑음
인천,28.7,맑음
원주,28.6,구름많음
울릉도,27.3,구름조금
수원,28.9,구름조금
영월,28.7,구름많음
충주,28.3,구름많음
서산,29.4,구름조금
울진,28.2,구름많음
청주,29.1,흐림
대전,29.6,구름많음
추풍령,27.1,흐림
안동,28.7,구름많음
상주,28.7,흐림
포항,29.2,흐림
군산,28.4,흐림
대구,29.6,구름많음
전주,29.1,흐림
울산,30.9,구름많음
창원,32.5,흐림
광주,29.7,구름많음
부산,32.1,흐림
통영,31.5,구름많음
목포,29.1,흐림
여수,30.7,흐림
흑산도,29.5,흐림
완도,29.2,흐림
고창,29.7,구름많음
순천,28.9,흐림
홍성,30.8,구름많음
서청주,28.3,흐림
제주,30.7,흐림
고산,29.1,구름많음
성산,30.2,구름많음
서귀포,30.7,구름많음
진주,28.7,구름많음
강화,27.9,구름조금
양평,29.3,구름조금
이천,29.9,구름많음
인제,28.8,구름조금
홍천,28.8,구름조금
태백,27.5,구름많음
정선군,28.3,구름많음
제천,27.6,구름많음
보은,28.4,구름많음
천안,28.1,구름많음
보령,29.4,구름많음
부여,29.3,구름많음
금산,28.5,흐림
세종,28.7,흐림
부안,29.2,흐림
임실,28.2,흐림
정읍,29.9,흐림
남원,29.1,흐림
장수,27.8,흐림
고창군,29.7,흐림
영광군,30.1,구름많음
김해시,30.7,구름많음
순창군,29.5,흐림
북창원,32.1,흐림
양산시,31.5,흐림
보성군,31.7,구름많음
강진군,31.4,흐림
장흥,30.4,흐림
해남,30.1,흐림
고흥,31.0,흐림
의령군,29.7,흐림
함양군,28.8,흐림
광양시,30.4,흐림
진도군,29.5,흐림
봉화,26.7,흐림
영주,27.4,흐림
문경,28.6,흐림
청송군,28.3,흐림
영덕,29.2,흐림
의성,29.5,흐림
구미,30.0,흐림
영천,29.7,흐림
경주시,29.5,흐림
거창,29.1,흐림
합천,30.3,흐림
밀양,33.1,구름많음
산청,29.2,흐림
거제,30.6,구름많음
남해,31.0,흐림
북부산,32.1,흐림
